xd,xla1,xla2,xm,xl,ar,aa,ah,br,ba,bh,xb,yb
3,4,5,50,143,0,0,0,0,0,0,62,24.17
6,18,11,68,149,0,0,0,0,0,0,321,257.7
3,21,7,66,119,110,0,0,1,0,0,110,125.51
6,13,1,70,118,0,0,0,0,0,0,162,75.81
3,7,4,88,134,0,0,0,0,0,0,200,202
4,12,13,48,119,0,0,0,0,0,0,94,23.63
8,4,2,52,134,0,0,0,0,0,0,200,62.16
5,22,13,61,110,0,0,0,0,0,0,70,41.61
3,5,3,35,89,14,0,0,1,0,0,14,9.96
8,25,9,56,104,0,0,0,0,0,0,30,13.7
3,4,1,49,103,0,0,10,0,0,1,10,29.58
2,4,7,72,110,0,0,0,0,0,0,17,11.76
25,3,17,62,135,0,0,0,0,0,0,275,84.42
3,2,6,60,114,0,0,0,0,0,0,75,34.95
2,3,5,39,104,0,0,0,0,0,0,34,5.84
2,1,1,60,114,0,0,0,0,0,0,12,22.15
11,2,6,49,134,0,0,0,0,0,0,52,51.06
13,6,4,31,105,55,0,0,1,0,0,55,38.56
4,6,4,51,128,0,0,0,0,0,0,170,148.02
7,12,5,67,117,20,0,0,1,0,0,20,16.01
5,9,1,38,91,0,0,0,0,0,0,2.8,4
1,5,6,16,118,8,0,0,1,0,0,8,0.17
6,4,1,35,100,0,0,3.5,0,0,1,3.5,18.67
5,7,9,35,112,0,0,0,0,0,0,100,80.26
15,18,10,42,152,10.26,0,10.26,1,0,1,10.26,0.03
2,13,5,66,100,37,0,0,1,0,0,37,17
12,6,4,56,96,0,0,0,0,0,0,35,11.6
3,10,3,60,139,8.5,0,0,1,0,0,8.5,0.04
7,3,3,81,133,0,0,0,0,0,0,23,0.51
1,1,5,87,117,0,90,0,0,1,0,90,35.36
3,7,5,82,90,0,0,17,0,0,1,17,50.2
2,12,1,87,127,10,0,10,1,0,1,10,13.58
2,1,5,52,97,0,0,0,0,0,0,4.8,3.02
1,6,1,71,102,0,0,0,0,0,0,0.88,0.39
1,1,1,53,92,1,0,1,1,0,1,1,3.65
1,1,4,69,102,21,0,0,1,0,0,21,20.56
11,11,2,46,103,0,0,0,0,0,0,16,6.49
2,7,3,21,117,10,0,0,1,0,0,10,2.12
12,10,3,67,106,10,0,10,1,0,1,10,76.22
1,3,14,32,116,0,0,0,0,0,0,100,9.2
13,20,2,46,113,0,0,130,0,0,1,130,45.4
1,1,11,88,136,36,0,0,1,0,0,36,42.91
12,10,8,28,102,6.09,0,0,1,0,0,6.09,0.28
3,1,2,87,119,12,0,0,1,0,0,12,0.22
5,2,6,42,88,0,0,0,0,0,0,6,17.63
1,1,2,66,85,1.7,0,0,1,0,0,1.7,0.26
2,1,21,69,115,11,0,0,1,0,0,11,0.21
6,17,16,64,152,20,0,20,1,0,1,20,0.18
5,11,4,74,130,0,0,0,0,0,0,180,122.74
2,1,11,76,141,0,0,0,0,0,0,149,103.25
4,6,2,67,136,0,0,0,0,0,0,200,146.51
11,18,13,77,137,97,0,0,1,0,0,97,88.41
2,19,4,49,89,0,80,0,0,1,0,80,72.43
5,41,11,39,129,0,0,0,0,0,0,230,62.98
8,22,1,45,120,0,0,0,0,0,0,300,93.84
5,1,2,84,152,0,0,0,0,0,0,317,220.01
2,4,27,62,118,0,0,0,0,0,0,185,61.03
5,6,17,82,140,0,0,0,0,0,0,150,56.26
2,8,8,52,107,0,0,0,0,0,0,110,18.68
4,4,23,73,133,0,0,0,0,0,0,175,117.03
1,8,5,75,104,0,80,0,0,1,0,80,53
13,31,2,47,118,0,0,0,0,0,0,60,22.87
2,17,1,33,112,0,0,0,0,0,0,38,10.33
1,2,1,34,93,0,0,10,0,0,1,10,12.74
4,6,2,32,123,0,0,0,0,0,0,160,24.17
10,22,18,58,123,0,0,0,0,0,0,120,59.22
4,2,6,57,112,35,0,0,1,0,0,35,7.45
6,6,2,51,110,38,0,0,1,0,0,38,17.88
